,tag,name,badgeId,trophies,rank,memberCount
92,#2RJJVPPRG,Yt Charlie Game,8000059,1537533,93,29
93,#2GCGRCJ8Y,One • Piece,8000021,1535484,94,30
94,#2JV92CVP9,Les Laps,8000040,1535214,95,30
95,#2GR2VQV2U,Humble Grinders,8000057,1533110,96,29
96,#LR8QYQV2,O.G<c4>ᴳᴬᴺᴳ</c>,8000000,1532776,97,27
97,#2RUQ9R0VG,LA Instinct,8000035,1532337,98,29
98,#2RGJGGRC8,StarLight🔝,8000023,1532207,99,29
99,#2JQC22UUL,abc|Union,8000027,1531978,100,30
100,#2GU9GP00L,Brawl Imperium,8000023,1529817,101,30
101,#2LR8YU8JJ,Turkish Shadow,8000021,1529615,102,30
102,#JPU090LL,super brawlwrs,8000037,1527522,103,30
103,#2RRR09G8Y,L’⭐️ ROUGE B,8000006,1526368,104,30
104,#220QURYQ,i bomber,8000033,1522824,105,30
105,#2RYU0QCYV,Snow eSports,8000033,1522186,106,30
106,#YVYJG99V,Revenge Gaming,8000029,1521286,107,30
107,#20LYYJUGL,ASTRON eSports,8000014,1520137,108,30
108,#2YPQPLGVY,Amigos🐳,8000021,1519785,109,30
109,#2GGRP8Q2G,Walther Smooth,8000036,1519498,110,30
110,#2RUPGUCGL,SD Latam,8000008,1518454,111,30
111,#2GGJJPPUJ,헤라palace,8000055,1517963,112,30
112,#2R92GGRVV,RAXENS~,8000059,1516133,113,29
113,#2GGQYYLLU,Mystic MidEast,8000055,1515200,114,30
114,#VCYQ9Y0J,B2B|Inferno,8000037,1515111,115,30
115,#28L0YRL8J,Thunderbolts,8000011,1515037,116,30
116,#22PUG0VJP,🇩🇪LEGENDS🇩🇪,8000025,1514453,117,30
117,#C09LG8YL,minuta:3,8000035,1513861,118,30
118,#2RRVLPCP2,Nice for game,8000059,1513248,119,30
119,#2GYG800CJ,GamePlay D,8000023,1512665,120,30
120,#2GPVUG2Q8,Euphoria,8000037,1512104,121,30
121,#2QV0ULU0R,BRAWL STARS,8000023,1510131,122,30
122,#2RQVUR8CC,flexibility 🔀,8000051,1509166,123,30
123,#229RYULQG,Facção do Caos,8000004,1508028,124,30
124,#2J8YQGCRJ,Life is ThuG,8000037,1506317,125,30
125,#2R8QUPU29,Affective.,8000037,1503873,126,30
126,#2JRRGR8LV,F/A India,8000023,1502468,127,29
127,#20G0UYQL0,InTeamRasur,8000013,1502456,128,30
128,#2GU90QPYC,BRZ Storm ⛈,8000019,1500862,129,30
129,#VVJG8L0C,ʙʟᴏᴏᴅ ᴍᴀꜰɪᴀ,8000023,1500432,130,30
130,#2JP2QL0LU,Family Barza,8000037,1499684,131,30
131,#VU2VRUP8,TOXIC HEROS,8000055,1497666,132,30
132,#2GCQ9UU8P,NA Friends,8000015,1496658,133,30
133,#2GCULC99C,House Greyjoy,8000025,1495637,134,30
134,#222UPCRVP,AFGM GENESIS,8000059,1494774,135,30
135,#RR2R0LV,PUNCH BR,8000021,1494417,136,30
136,#2GLGLPVYJ,Bawz Army,8000023,1493996,137,29
137,#LUJPVJ00,LA Kings,8000014,1491587,138,30
138,#2GCCUQLY8,Bulgarian Army,8000037,1490847,139,30
139,#2G822VG2J,Halloween 🎃👻,8000016,1490374,140,30
140,#2JVV2RGVG,FlorDCañaGaming,8000033,1490368,141,30
141,#2GYPJQ82C,<c5>Just Us</c>,8000059,1490319,142,30
142,#22QYVGJP0,馬小屋🐎,8000027,1489785,143,30
143,#2022UQ08V,Havoc Echo,8000003,1487017,144,30
144,#PLQ8RUC0,Mini Me’s,8000018,1486515,145,30
145,#2R8PC2V99,ApeX Esports X,8000021,1485257,146,29
146,#2GYU9LUJU,RM <c5>Mate</c>,8000059,1484999,147,30
147,#VV9YPYUC,RoStars Academy,8000023,1484802,148,30
148,#2LULQVR8L,CODEMAGIC,8000025,1484103,149,30
149,#208ULPY08,⚔️ВАРВАРЫ⚔️,8000004,1484060,150,30
150,#2QCQCUJUP,<c6>Axolotl</c>,8000041,1482042,151,29
151,#20PYGGGPU,PV toxic,8000003,1481882,152,30
152,#2GLCUVJ8C,Remaining Beta,8000023,1481839,153,30
153,#2YU8UQR8Y,ELITE GEIMERS,8000021,1481169,154,30
154,#20U9Q8YVJ,🔥AURAFAIR🔥,8000029,1480521,155,30
155,#200VPQ988,XP|TeaM,8000014,1480319,156,30
156,#2G9C2V2GG,ChasmacGaming,8000021,1480255,157,30
157,#2RYUL9RLR,Holy Bear's,8000056,1480221,158,30
158,#2GGLC22C0,NO RISKnoFun PL,8000029,1480007,159,30
159,#2JJGYCYGV,30 Compadres,8000023,1479755,160,30
160,#VUVP98PJ,BrawlConQueso B,8000049,1478912,161,30
161,#2LR29YRPL,GAME OVER,8000041,1477453,162,30
