brawler_name,player_tag,player_name,name_color,player_icon,player_trophies,rank,club
GRAY,#88V889J29,Vladosxzヤ─ネ,0xffffffff,28000154,1172,43,AFGM GENESIS
GRAY,#Y90QYRGJ9,sho,0xff1ba5f5,28000066,1170,44,めいさんの弟子
GRAY,#28YUL8GYC,Shady,0xffcb5aff,28000109,1165,45,BC*|Family*
GRAY,#20JLQR90U,Meow | 미주🐻‍❄️,0xfff05637,28000183,1164,46,久安
GRAY,#PJGGV2Q80,DW | charlz 🖤,0xffcb5aff,28000113,1164,47,STMN Esports
GRAY,#2CRRRRYJR,моё,0xffff9727,28000218,1164,48,ホワイトカンパニー
GRAY,#8LJ9R9P80,KMGR🐾🤍,0xffffffff,28000108,1150,49,High Ping 😵‍💫
GRAY,#2UV0U0R9,Viau,0xffcb5aff,28000002,1149,50,Beyond Omni
GRAY,#Y2PU0C2LV,Crescent Nagi,0xffa2e3fe,28000085,1135,51,High Ping 😵‍💫
GRAY,#G8Q0V8RP,꧁Rìøt | Xeno꧂,0xffffffff,28000079,1135,52,きゃらめるたん
GRAY,#2902JQV0L,DEW l Oden🍢,0xff1ba5f5,28000132,1133,53,Music Surface
GRAY,#VVCLQ0J,×Fv7🖤,0xffcb5aff,28000245,1132,54,Elite Saiyan🔱
GRAY,#8R2V0P0,STMN | Lukie🦝,0xffffffff,28000008,1128,55,Tribe Gaming NA
GRAY,#222QUG9L9,GuêPêCêᵇᵒˢˢ,0xff1ba5f5,28000109,1128,56,BS|MORTIS💜
GRAY,#9L9P2PLY0,🌙☂️piper💘,0xffcb5aff,28000018,1126,57,Desires
GRAY,#2GYYYVL8Y,大学落ちのいーくん,0xffa8e132,28000222,1122,58,ユニコーーーン！！
GRAY,#2YCR9RLCJ,Tris🍃,0xffcb5aff,28000014,1118,59,<c00ff5f>D1</c>
GRAY,#V9C9PP00,🔥🔸Fyre🔸🔥,0xfff9c908,28000020,1116,60,we love rabbits
GRAY,#8YVU9PQL,xD99Dx,0xffffffff,28000127,1114,61,<c3>GloRy</c>
GRAY,#8JG00YC02,PitchD|Bube,0xffcb5aff,28000066,1113,62,Pitchdome
GRAY,#8G0RP9QQJ,ホロメン推しのモンクだにぇ💕,0xff1ba5f5,28000183,1108,63,ゔおおおおおおおおおおおおおお
GRAY,#82CJYJPG2,Yutapin,0xffa8e132,28000190,1107,64,Cipher Pol
GRAY,#PJ9882U,Egnity|Ama🥀,0xffcb5aff,28000023,1106,65,ゆかいな仲間たち
GRAY,#9GPQR8CGL,TLG | GODNOOB🔪,0xffffffff,28000139,1105,66,TLG Esports
GRAY,#2P0QU92P2,Xonax♡,0xffffffff,28000137,1104,67,<c5> D1 </c>
GRAY,#ULQYVURJ,Sickale🎭,0xffff9727,28000023,1104,68,<c6> D1 </c>
GRAY,#2L892GP,YAPIMARU_YT,0xffffffff,28000186,1104,69,Cipher Pol
GRAY,#VCJGV08V,Pompy🥀,0xff4ddba2,28000136,1104,70,A Few Good Men
GRAY,#8UL0U08V,Winq✧,0xffcb5aff,28000129,1104,71,Humble Grinders
GRAY,#2C8U2CVCG,flash_boy2,0xffffffff,28000164,1104,72,fismat
GRAY,#RL098Q0Y,ChineseName,0xffff8afb,28000195,1104,73,Beyond Omni
GRAY,#2JU2UQYJP,通りすがりのバナナたん🍌,0xffffce89,28000015,1104,74,Xero
GRAY,#QLLJ9Q9YQ,1k,0xffffce89,28000023,1103,75,
GRAY,#YQY9Q0RLJ,ぺぺぬ〜ぶ,0xfff05637,28000132,1103,76,SAMURAI
GRAY,#QJQU9UQU9,Main Edgar🥶,0xffcb5aff,28000187,1103,77,Rebirth eSports
GRAY,#P80UYG2UL,xø dęãd øx,0xff1ba5f5,28000230,1101,78,ETERNAL FLAME
GRAY,#P88GQ0PG,TBG|_Sku Sku_⛩️,0xfff9c908,28000151,1101,79,COOL FAMILY
GRAY,#2PGGR8Y9P,Eve✘ 🍀,0xffff8afb,28000218,1101,80,<c00ff5f>D1</c>
GRAY,#GU898VQ,Tokkich残念な,0xffffce89,28000081,1100,81,Brawl Kings II
