,tag,name,nameColor,icon,trophies,rank,club
160,#992QJCGR9,弘中 綾香,0xfff9c908,28000111,63464,161,PEKKAの頂
161,#8UQ8PJV8Q,FrB|Yanis⚜,0xffa2e3fe,28000156,63449,162,erwan roblox yt
162,#CL2RUY8Y,✭𝓶𝓪𝓯𝓮𝓻💜✭,0xffcb5aff,28000228,63444,163,TEAM DARKNESS
163,#2RQ9Y0UV0,dxiikouニャー,0xffcb5aff,28000014,63424,164,LaWs Controll
164,#29J2GYQ2,alekzzニャー,0xffffffff,28000047,63424,165,Brawl Kings
165,#29V0GUG8,WC|Chriz,0xff1ba5f5,28000210,63380,166,Canal wcalixtoo
166,#PP9R0PQ8J,Bs'Førever°,0xffa2e3fe,28000170,63370,167,Elite Hell
167,#RRLCRJ9Q,a4!⭐Ma𝐑tiℕ$ ♛,0xffcb5aff,28000023,63364,168,LA Spain
168,#80YGP0YQ,Mezarcı|Ali🃏,0xffcb5aff,28000010,63312,169,Guard eSports
169,#JLJ2LQ0Y,Collerty,0xff1ba5f5,28000167,63283,170,AFGM GENESIS
170,#UUYCRQ82,Princesito,0xffa8e132,28000155,63254,171,Brawl Kings II
171,#8QYUQ2L0R,MAV,0xffffffff,28000129,63242,172,B2B|Inferno
172,#8PPLV0JYQ,BC* | 𝙽ɪc͢σ ❃,0xfff9c908,28000218,63223,173,BC*|Family*
173,#YLVJQCJ8,GodblessU🌼,0xfff9c908,28000236,63170,174,Hăpi🌼
174,#QQ9RVLCR,<c5>哈哈哈</c>,0xffcb5aff,28000022,63170,175,辛蒂的小跟班們❤️
175,#YP8802YP8,Playdead,0xffcb5aff,28000236,63157,176,Miracle
176,#8PCUPCL0L,IX | Gogold ☕,0xfff9c908,28000104,63149,177,Mônt D’Or
177,#QQPJ2QJ9,☆DarkSoul☆,0xff1ba5f5,28000048,63121,178,Elite🔱
178,#LPPLP220Y,ПУТЬ ШДШЕРА,0xffff9727,28000168,63113,179,
179,#GVQUYG90,🥀YT|Shattered,0xffffffff,28000102,63098,180,Beyond Champs
180,#200VLU82U,FWs Barney F1🦖,0xffcb5aff,28000041,63068,181,SD Latam
181,#2Q90CYVJ0,KG.,0xff1ba5f5,28000022,63040,182,DUO LOVEღ
182,#YUYYLVJ,Perry💜Lukie,0xffff9727,28000047,63021,183,NA Friends
